Date,Heure,Température,Humidité,Vibration,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
18/05/2025,19:41:48,23.80,55.00,0,16088,160,3256,-310,119,75
18/05/2025,19:42:01,23.80,56.00,0,16040,64,3380,-329,79,110
18/05/2025,19:42:27,23.80,55.00,0,16008,120,3212,-335,108,81
18/05/2025,19:42:41,23.80,56.00,0,16112,104,3252,-358,-56,104
18/05/2025,19:42:54,23.80,55.00,0,16208,168,3184,-345,105,87
18/05/2025,19:43:07,23.80,56.00,0,16140,156,3108,-313,101,82
18/05/2025,19:43:20,23.80,56.00,0,16180,192,3136,-342,120,85
18/05/2025,19:43:35,23.80,56.00,0,16132,44,3296,-340,100,91
18/05/2025,19:43:48,23.80,55.00,0,13576,4432,7684,-642,215,525
18/05/2025,19:44:02,23.80,57.00,1,15728,4948,164,-318,110,93
18/05/2025,19:44:14,23.80,57.00,1,16172,-60,3240,-325,113,101
18/05/2025,19:44:28,23.80,56.00,1,16168,108,3360,-319,118,103
18/05/2025,19:44:42,23.80,56.00,1,16028,32,3260,-328,106,114
18/05/2025,19:44:55,23.80,56.00,1,16068,104,3028,-349,124,97
18/05/2025,19:45:08,23.80,56.00,1,16164,84,3260,-357,88,96
18/05/2025,19:45:21,23.80,56.00,1,16120,152,3308,-316,116,95
18/05/2025,19:45:34,23.80,56.00,1,16084,-4,3248,-329,94,103
18/05/2025,19:45:48,23.80,56.00,1,16140,192,3292,-340,108,103
18/05/2025,19:46:01,23.80,56.00,1,16000,0,3476,-307,120,106
18/05/2025,19:46:14,23.80,56.00,1,16164,148,3192,-332,104,87
